timestamp	phase	score	words	keep_discard	description
b612c17	ch01	6.0	2375	keep	Chapter 1 (attempt 1)
discarded	ch02	4.5	2918	discard	Chapter 2 attempt 1
discarded	ch02	-1.0	3406	discard	Chapter 2 attempt 2
discarded	ch02	4.5	3212	discard	Chapter 2 attempt 3
discarded	ch02	3.7	4608	discard	Chapter 2 attempt 4
discarded	ch02	4.0	4388	discard	Chapter 2 attempt 5
3ec972f	ch02	?	4388	forced	Chapter 2: kept after max attempts
66cf533	ch03	6.0	3588	keep	Chapter 3 (attempt 1)
discarded	ch04	4.5	4312	discard	Chapter 4 attempt 1
discarded	ch04	5.0	4701	discard	Chapter 4 attempt 2
discarded	ch04	5.7	3285	discard	Chapter 4 attempt 3
3716f33	ch04	6.0	5712	keep	Chapter 4 (attempt 4)
discarded	ch05	4.5	3490	discard	Chapter 5 attempt 1
discarded	ch05	4.5	3878	discard	Chapter 5 attempt 2
discarded	ch05	4.0	4221	discard	Chapter 5 attempt 3
discarded	ch05	2.9	2826	discard	Chapter 5 attempt 4
discarded	ch05	4.0	3710	discard	Chapter 5 attempt 5
2f55eb9	ch05	?	3710	forced	Chapter 5: kept after max attempts
discarded	ch06	4.0	4460	discard	Chapter 6 attempt 1
discarded	ch06	3.5	4129	discard	Chapter 6 attempt 2
4ac69ad	ch06	6.0	3945	keep	Chapter 6 (attempt 3)
discarded	ch07	5.0	3566	discard	Chapter 7 attempt 1
discarded	ch07	4.5	3434	discard	Chapter 7 attempt 2
d333912	ch07	6.0	4164	keep	Chapter 7 (attempt 3)
c7174c1	ch08	6.0	3326	keep	Chapter 8 (attempt 1)
a14e5cd	ch09	6.0	2989	keep	Chapter 9 (attempt 1)
49f6379	ch10	6.0	4114	keep	Chapter 10 (attempt 1)
58b87b7	ch11	6.0	2890	keep	Chapter 11 (attempt 1)
6a745b2	ch12	6.0	4375	keep	Chapter 12 (attempt 1)
discarded	ch13	4.5	3758	discard	Chapter 13 attempt 1
discarded	ch13	4.5	3224	discard	Chapter 13 attempt 2
discarded	ch13	4.5	3461	discard	Chapter 13 attempt 3
discarded	ch13	4.5	4101	discard	Chapter 13 attempt 4
discarded	ch13	4.5	3652	discard	Chapter 13 attempt 5
7a68486	ch13	?	3652	forced	Chapter 13: kept after max attempts
discarded	ch14	4.5	4251	discard	Chapter 14 attempt 1
